archetype,archetype_n_users,within_archetype_rank,bgg_id,name,overall_rank,owner_count_in_archetype,owner_share_in_archetype,profile_dimension,manual_label,community_type,community
leaning__medium_worker_placement_euros,33,2,120677,Terra Mystica,35,19,0.5757575757575758,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,3,144733,Russian Railroads,151,18,0.5454545454545454,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,4,126163,Tzolk'in: The Mayan Calendar,73,18,0.5454545454545454,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,5,102794,Caverna: The Cave Farmers,62,17,0.5151515151515151,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,6,2651,Power Grid,74,17,0.5151515151515151,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__medium_worker_placement_euros,33,7,173346,7 Wonders Duel,24,16,0.48484848484848486,other,,tiny_fragment,33
leaning__medium_worker_placement_euros,33,8,31260,Agricola,64,16,0.48484848484848486,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__medium_worker_placement_euros,33,9,193738,Great Western Trail,19,15,0.45454545454545453,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,10,172386,Mombasa,144,14,0.42424242424242425,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,11,171623,The Voyages of Marco Polo,120,14,0.42424242424242425,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,12,146886,La Granja,275,14,0.42424242424242425,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,13,35677,Le Havre,80,14,0.42424242424242425,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,14,164928,Orléans,36,14,0.42424242424242425,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,15,68448,7 Wonders,116,14,0.42424242424242425,other,,tiny_fragment,30
leaning__medium_worker_placement_euros,33,16,3076,Puerto Rico,55,14,0.42424242424242425,bgg_golden_age_canon,BGG Golden Age canon,temporal_canon,10
leaning__medium_worker_placement_euros,33,17,124361,Concordia,29,14,0.42424242424242425,other,Trade-route / area-influence euros,bridge_cluster,22
leaning__medium_worker_placement_euros,33,18,167791,Terraforming Mars,9,14,0.42424242424242425,other,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,0
leaning__medium_worker_placement_euros,33,19,122515,Keyflower,133,13,0.3939393939393939,medium_worker_placement_euros,Medium worker-placement euros,taste_specialist,8
leaning__medium_worker_placement_euros,33,20,28720,Brass: Lancashire,23,13,0.3939393939393939,historical_wargames_conflict_strategy,Historical wargames + conflict strategy,taste_specialist,20
