bgg_id,name,overall_rank,community,manual_label,community_type,average_rating,average_weight,owned,year_published,degree,weighted_degree_strength,betweenness,weighted_clustering,degree_rank,strength_rank,betweenness_rank
262114,Rival Restaurants,2199,13,Puzzle / nature tableau builders,taste_cross_over,7.54204,2.2093,4472,2019,72,9.25965008884668,0.0,0.024185534699416228,2261,2421,175
230383,Memoarrr!,2200,17,Roll-and-write / number dice games,taste_cross_over,6.87605,1.2157,5107,2017,77,20.69798450171947,0.0,0.04480062762065127,2078,1764,175
259081,Machi Koro Legacy,2201,4,Legacy + narrative mystery,shared_culture,6.8703,1.8958,6438,2019,76,18.02361913025379,0.0,0.040985923237557745,2119,1944,175
28086,Age of War,2202,25,Party / family / social deduction,taste_cross_over,6.43727,1.1527,14333,2006,88,41.1374297440052,0.0,0.05906774663355491,1566,929,175
147253,The Ancient World,2203,23,Fantasy adventure / deck-building gateway,taste_cross_over,6.95885,2.7321,3470,2014,53,7.126066692173479,0.0,0.029090967003497444,2494,2483,175
229713,War Room,2204,20,Historical wargames + conflict strategy,taste_specialist,8.22176,3.5493,2227,2019,79,12.629263781011101,0.0,0.021874865954588037,1990,2280,175
303672,Trek 12: Himalaya,2205,19,Recent releases / new-hotness cluster,temporal_artifact,6.78376,1.4444,5540,2020,80,19.67333950102329,0.0,0.03890647445920903,1956,1838,175
103092,Helvetia,2206,8,Medium worker-placement euros,taste_specialist,6.97475,3.0548,2291,2011,67,9.001548781991003,0.0,0.023565791257018142,2373,2435,175
383109,Dragonkeepers,2207,19,Recent releases / new-hotness cluster,temporal_artifact,7.08224,1.9583,4544,2023,83,16.910931825637814,0.0,0.03323273679146853,1813,2015,175
250881,Dominations: Road to Civilization,2210,8,Medium worker-placement euros,taste_specialist,7.32826,3.5873,2953,2019,55,8.781149633228777,0.0,0.03225758129583785,2490,2442,175
169611,Love Letter: The Hobbit – The Battle of the Five Armies,2211,25,Party / family / social deduction,taste_cross_over,7.12754,1.2667,3779,2015,100,12.992527104914185,0.0,0.02326404496185785,1002,2256,175
26457,Successors: The Battles for Alexander's Empire,2213,20,Historical wargames + conflict strategy,taste_specialist,7.54194,3.298,1678,2008,127,16.14096315950155,0.0,0.010920472174012666,498,2059,175
175293,Trambahn,2215,8,Medium worker-placement euros,taste_specialist,6.92816,1.802,3885,2015,67,13.767389819025992,0.0,0.03705213306150106,2373,2208,175
61487,Unconditional Surrender! World War 2 in Europe,2216,20,Historical wargames + conflict strategy,taste_specialist,7.99092,3.7946,2715,2014,110,15.867822937667366,0.0,0.01335032475193571,725,2074,175
162009,The U.S. Civil War,2217,20,Historical wargames + conflict strategy,taste_specialist,8.29433,3.8636,3369,2015,134,30.590025976300236,0.0,0.015564521790607187,453,1249,175
265537,Weimar: The Fight for Democracy,2219,20,Historical wargames + conflict strategy,taste_specialist,8.34362,4.0159,1509,2023,100,13.651430740952488,0.0,0.015865304954432655,1002,2213,175
157413,New Bedford,2221,0,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,7.03675,2.4118,3835,2016,62,11.591246679425238,0.0,0.03407249484422401,2438,2324,175
218208,Ticket to Ride: First Journey (Europe),2223,25,Party / family / social deduction,taste_cross_over,7.00758,1.4667,5975,2017,115,24.57430203258991,0.0,0.030997694860292333,635,1518,175
220367,Empyreal: Spells & Steam,2224,27,Race for the Galaxy system cluster,franchise_series,7.43408,2.8636,2403,2020,57,8.540333986282347,0.0,0.02726408751361678,2485,2449,175
392492,Stupor Mundi,2225,2,Current heavy euro engine builders,taste_specialist,7.51789,3.2532,1747,2025,90,15.197810560464855,0.0,0.02700792302479229,1445,2107,175
361850,Nimalia,2227,19,Recent releases / new-hotness cluster,temporal_artifact,7.00793,1.7321,4092,2023,70,13.459407925605772,0.0,0.03323507054685004,2302,2233,175
243430,Dealt!,2230,10,BGG Golden Age canon,temporal_canon,7.02618,1.44,3691,2018,68,14.762355506420134,0.0,0.03528425675027796,2346,2138,175
257732,Pax Transhumanity,2231,20,Historical wargames + conflict strategy,taste_specialist,7.46639,4.4101,2962,2019,94,29.005641922354695,0.0,0.03252912861970205,1242,1317,175
180852,Tiny Epic Western,2232,23,Fantasy adventure / deck-building gateway,taste_cross_over,6.62383,2.8678,12892,2016,87,32.29026136547327,0.0,0.04797135604473938,1618,1180,175
270847,Set & Match,2234,38,Racing / sports / route bridge,bridge_cluster,7.33859,1.1395,2740,2017,95,16.492185018956658,0.0,0.025226044532992015,1199,2042,175
424280,Hitster: Music Bingo,2235,19,Recent releases / new-hotness cluster,temporal_artifact,7.4194,1.04,4116,2024,106,25.26259326934814,0.0,0.032896846476785604,801,1475,175
163805,Transatlantic,2236,8,Medium worker-placement euros,taste_specialist,7.00561,3.0984,2535,2017,64,11.42335872352123,0.0,0.033738754542991856,2423,2335,175
272427,Terramara,2239,2,Current heavy euro engine builders,taste_specialist,7.27838,3.4154,2155,2019,96,16.395483672618862,0.0,0.025654315569178625,1154,2048,175
120,Hoity Toity,2240,10,BGG Golden Age canon,temporal_canon,6.50982,1.8623,8969,1990,106,34.16700217872858,0.0,0.03386850289012635,801,1105,175
28089,Château Roquefort,2241,10,BGG Golden Age canon,temporal_canon,6.84841,1.5882,3841,2007,94,14.548560544848439,0.0,0.026041762260707292,1242,2152,175
320718,Hidden Leaders,2242,13,Puzzle / nature tableau builders,taste_cross_over,6.70683,1.8125,7175,2022,92,25.02416847646236,0.0,0.041534175408474365,1346,1488,175
249590,Nevsky: Teutons and Rus in Collision 1240-1242,2243,20,Historical wargames + conflict strategy,taste_specialist,7.98843,3.9524,2281,2019,126,21.866991125047203,0.0,0.014960977425870043,506,1684,175
2393,Xiangqi,2244,10,BGG Golden Age canon,temporal_canon,7.08809,3.5467,3503,762,82,15.19647657871246,0.0,0.028420796291774564,1861,2108,175
323613,LUNA Capital,2245,19,Recent releases / new-hotness cluster,temporal_artifact,7.06748,2.2394,5280,2021,77,14.377707391977308,0.0,0.03345075194871408,2078,2165,175
204184,Risk: Europe,2248,20,Historical wargames + conflict strategy,taste_specialist,7.38571,2.6324,4388,2015,94,12.26117610186338,0.0,0.019359205929536615,1242,2302,175
71074,Expedition: Northwest Passage – HMS Terror Edition,2249,10,BGG Golden Age canon,temporal_canon,6.94694,2.6774,2665,2013,62,8.030256323516367,0.0,0.025316934326643174,2438,2465,175
226501,Dragonfire,2250,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,7.03079,3.2391,5751,2017,88,15.16490566730499,0.0,0.02443339028555155,1566,2113,175
322588,Origins: First Builders,2251,2,Current heavy euro engine builders,taste_specialist,7.02166,3.3229,4759,2021,77,20.832651436328884,0.0,0.03867294127032956,2078,1749,175
431481,A Place for All My Books,2252,13,Puzzle / nature tableau builders,taste_cross_over,7.55105,2.2286,4978,2025,79,18.773211807012554,0.0,0.03502923501707542,1990,1907,175
41863,Axis & Allies: 1942,2253,9,Amerithrash / miniatures / LCG,taste_specialist,6.94343,3.1581,7289,2009,90,16.898814298212525,0.0,0.028566179938223437,1445,2018,175
377969,Marvel United: Multiverse,2255,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.42841,1.9545,4308,2024,87,19.951348207890984,0.0,0.032243132668069045,1618,1822,175
400498,Light Speed: Arena,2256,19,Recent releases / new-hotness cluster,temporal_artifact,7.6338,1.1489,2410,2025,86,18.43691654503345,0.0,0.03285595066719109,1673,1924,175
238546,The Rise of Queensdale,2259,4,Legacy + narrative mystery,shared_culture,7.40609,2.7857,2768,2018,55,9.133921474218367,0.0,0.035191498017605564,2490,2426,175
205610,A Game of Thrones: Hand of the King,2260,40,Light gateway tile/claim-action cluster,bridge_cluster,6.57393,1.2212,9399,2016,76,25.214488029479977,0.0,0.051217979696565386,2119,1480,175
364641,Joan of Arc: Orléans Draw & Write,2261,13,Puzzle / nature tableau builders,taste_cross_over,7.19252,2.4048,3960,2022,79,21.01732352375984,0.0,0.04344459816359098,1990,1738,175
306321,Night of the Ninja,2262,19,Recent releases / new-hotness cluster,temporal_artifact,7.15747,1.8378,3406,2021,98,12.09839495271444,0.0,0.019768053267202695,1077,2306,175
202977,Cytosis: A Cell Biology Board Game,2263,36,Light set-collection gateway,bridge_cluster,6.95765,2.4627,6507,2017,73,16.02304485440254,0.0,0.039439640314060415,2223,2066,175
348554,Autobahn,2265,2,Current heavy euro engine builders,taste_specialist,7.0315,3.811,4437,2022,84,28.634878516197205,0.0,0.04832121685867769,1764,1332,175
174078,Holmes: Sherlock & Mycroft,2267,40,Light gateway tile/claim-action cluster,bridge_cluster,6.75532,1.8222,5804,2015,73,13.272814363241194,0.0,0.035012003538348116,2223,2247,175
205125,Ticket to Ride: First Journey (U.S.),2268,25,Party / family / social deduction,taste_cross_over,6.84819,1.3846,8701,2016,105,27.995189204812046,0.0,0.03674001270413535,829,1359,175
15600,Sardegna,2272,10,BGG Golden Age canon,temporal_canon,7.0285,2.6067,2559,2005,78,18.55443303287029,0.0,0.02756758834087111,2035,1920,175
38386,A Castle for All Seasons,2274,10,BGG Golden Age canon,temporal_canon,6.72222,2.7877,3645,2008,71,12.627440929412838,0.0,0.02893987259677888,2284,2282,175
300583,Village Green,2275,13,Puzzle / nature tableau builders,taste_cross_over,6.89359,1.971,4930,2020,78,20.47926293313503,0.0,0.04257230254796133,2035,1784,175
